TimeReference,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Response
394,-0.553092103,1.667590646,-0.047357427,0.514248893,0.589388488,-0.635410523,1.126610867,-0.311882321,0.035247126,1.704936035,1.112336066,0.616777458,0.217651195,0.093269229,0.051643168,-0.471139993,-0.700957698,0.351665713,0.709548658,0.577734173,-0.033536548,0.687658355,-0.076693086,0.014809587,-0.590713382,-0.482998413,0.137717309,-0.334914691,1.55,0
406,-2.312226542,1.951992011,-1.609850732,3.997905588,-0.522187865,-1.426545319,-2.537387306,1.391657248,-2.770089277,-2.772272145,3.202033207,-2.899907388,-0.595221881,-4.289253782,0.38972412,-1.14074718,-2.830055675,-0.016822468,0.416955705,0.126910559,0.517232371,-0.035049369,-0.465211076,0.320198199,0.044519167,0.177839798,0.261145003,-0.143275875,0,1
406,-1.645008604,-2.090799133,1.592566836,-1.38885259,1.732899192,-1.631058781,-0.922859376,0.01381445,1.760777056,-1.270164278,-1.401053239,0.35601814,0.191579696,-0.473274886,0.707895259,-0.179083043,-0.816905117,0.631246543,0.309446502,0.564245803,0.248155008,0.415496484,0.293293937,-0.463425038,-0.40517536,-0.92410328,0.00658569,0.018683011,46.68,0
407,-0.918109392,0.798542201,1.753494095,-0.576985397,-0.554779916,0.119541872,1.096152572,-0.114590681,-0.213291346,-0.742606972,-0.138749708,0.59989904,1.20891998,-0.381499679,0.716385076,0.472986514,-0.684815917,-0.649251557,-1.378950893,-0.205694727,0.050748124,0.201314131,0.023567543,0.107428413,-0.464465515,0.004938474,-0.068013275,0.093834319,146.25,0
408,-2.990791549,1.932984725,0.423524284,-2.019924557,-0.108641275,-0.29571,0.629704648,-0.044991001,2.424755794,3.334443121,1.474485814,0.121291478,-0.929145772,-0.929901229,0.449338464,0.330375655,-1.063317778,-0.356874986,-0.989797666,1.298921442,-0.57274458,-0.325197202,0.154297601,-0.3315124,0.234598737,0.760069647,0.95537669,0.536523981,7.3,0
409,-0.544922216,0.595407358,1.813260912,-1.344669741,0.016864248,-0.601397515,0.660875856,-0.058977945,0.317033236,-0.523190104,-0.386483889,-0.716843483,-1.307211536,0.018265901,0.926463709,0.282247864,-0.427226014,-0.671667526,-1.032118142,-0.016848168,-0.123047852,-0.1482281,-0.07607547,0.074036189,-0.486633189,0.724548696,0.104294235,-0.055109568,0.77,0
409,1.243757504,-0.777764483,1.016830028,-0.250545906,-1.268555166,0.137280396,-1.057919227,0.009986412,-0.460485869,0.624628451,-1.144142453,0.342357291,2.142710023,-0.695759495,1.368113906,-0.466187066,-0.809202806,1.855164966,-1.060533972,-0.222613976,-0.142454959,0.042134432,-0.125057116,-0.403784773,0.212596288,0.61915456,0.035517639,0.041399048,72,0
410,-0.9608187,0.071013017,2.602819337,-0.998693061,-0.383880012,-0.208286115,0.368938159,0.059513641,0.504836276,-0.67802132,1.05047512,1.31612485,0.377964606,-0.861676969,-1.755805298,0.097838076,-0.465169901,-0.224919085,-0.019706209,0.315315447,-0.136826822,-0.081333507,-0.016162267,0.605342437,-0.121759454,0.736684428,0.077108566,-0.069752043,56.09,0
410,-1.086133382,-0.704547684,2.329021447,-0.885715003,0.617676503,0.478894182,-0.267414204,0.354041934,0.55899942,-0.788077564,1.237452121,1.360272639,0.170853649,-0.697620981,-1.203923586,-0.465259959,0.055994497,-1.002349557,-0.56523185,0.188552303,0.021119016,0.213191885,0.186858112,-0.207543079,-0.701079924,0.737603266,-0.093268712,-0.085372364,39.77,0
410,-0.355220827,1.155881754,1.311865013,0.061944508,0.114206664,-0.99021983,0.728194679,-0.105630282,-0.486183264,-0.525351236,-0.105192898,0.254165456,0.739546366,-0.552004757,0.826427402,0.35204444,-0.02614055,-0.215280013,-0.094709737,0.155327646,-0.255802994,-0.639619013,-0.022675556,0.351456338,-0.139463857,0.069852311,0.249579983,0.099987894,0.89,0
